p11-kit 0.25.5-1
p4v 2024.2.2634463-1
p7zip 1:17.05-2
pacman 6.1.0-3
pacman-contrib 1.10.6-1
pacman-mirrorlist 20240717-1
pam 1.6.1-3
pambase 20230918-2
pamixer 1.6-3
pango 1:1.54.0-1
pangomm 2.46.4-1
pangomm-2.48 2.54.0-1
parallel 20240722-1
parted 3.6-2
patch 2.7.6-10
patchutils 0.4.2-3
pavucontrol 1:6.1-1
pciutils 3.13.0-2
pcre 8.45-4
pcre2 10.44-1
pcsclite 2.3.0-1
peazip-qt-bin 9.9.1-1
peazip-qt-bin-debug 9.9.1-1
perl 5.40.0-1
perl-error 0.17029-7
perl-mailtools 2.21-9
perl-timedate 2.33-7
phonon-qt5 4.12.0-4
phonon-qt5-gstreamer 4.10.0-4
phonon-qt6 4.12.0-4
phonon-qt6-vlc 0.12.0-2
pinentry 1.3.1-5
pipewire 1:1.2.3-1
pipewire-alsa 1:1.2.3-1
pipewire-audio 1:1.2.3-1
pipewire-jack 1:1.2.3-1
pipewire-pulse 1:1.2.3-1
pixman 0.43.4-1
pkgconf 2.1.1-1
plasma-activities 6.1.4-1
playerctl 2.4.1-4
podofo 0.10.3-1
pokemon-colorscripts-git r112.0483c85-1
polkit 125-1
polkit-kde-agent 6.1.4-1
polkit-qt5 0.200.0-1
polkit-qt6 0.200.0-1
poppler 24.08.0-1
poppler-qt5 24.08.0-1
poppler-qt6 24.08.0-1
popt 1.19-1
portaudio 1:19.7.0-3
portmidi 1:2.0.4-2
portsmf 234-3
power-profiles-daemon 0.22-2
powerline-fonts-git r215.a029626-1
procps-ng 4.0.4-3
protobuf 27.3-2
prrte 3.0.6-1
psmisc 23.7-1
pugixml 1.14-1
purpose 6.5.0-1
purpose5 5.116.0-1
pystring 1.1.4-2
python 3.12.5-1
python-apsw 3.46.1.0-1
python-async-timeout 4.0.3-4
python-atspi 2.46.1-2
python-attrs 23.2.0-3
python-autocommand 2.2.2-6
python-beautifulsoup4 4.12.3-2
python-blinker 1.7.0-2
python-brotli 1.1.0-2
python-brotlicffi 1.1.0.0-2
python-cairo 1.26.1-1
python-certifi 2024.08.30-1
python-cffi 1.16.0-2
python-chardet 5.2.0-2
python-charset-normalizer 3.3.2-2
python-click 8.1.7-3
python-contourpy 1.3.0-1
python-cryptography 42.0.7-1
python-css-parser 1.0.10-2
python-cssselect 1.2.0-6
python-cycler 0.12.1-2
python-dateutil 2.9.0-5
python-decorator 5.1.1-4
python-distro 1.9.0-2
python-dnspython 1:2.6.1-1
python-docutils 1:0.21.2-1
python-fastjsonschema 2.20.0-1
python-faust-cchardet 2.1.19-2
python-feedparser 6.0.11-2
python-filelock 3.13.3-2
python-flask 2.3.3-2
python-flask-cors 5.0.0-1
python-fonttools 4.53.1-1
python-gobject 3.48.2-2
python-greenlet 3.0.3-2
python-html2text 2024.2.26-1
python-html5-parser 0.4.12-2
python-html5lib 1.1-14
python-httplib2 0.22.0-5
python-idna 3.8-1
python-ifaddr 0.2.0-5
python-inflate64 1.0.0-2
python-inflect 7.3.1-1
python-installer 0.7.0-8
python-itsdangerous 2.1.2-4
python-jaraco.context 5.3.0-1
python-jaraco.functools 4.0.2-1
python-jaraco.text 4.0.0-1
python-jeepney 0.8.0-3
python-jinja 1:3.1.4-1
python-jsonschema 4.23.0-1
python-jsonschema-specifications 2023.12.1-2
python-kiwisolver 1.4.5-3
python-lxml 5.3.0-1
python-lxml-html-clean 0.2.0-1
python-mako 1.3.5-1
python-markdown 3.7-1
python-markupsafe 2.1.5-2
python-matplotlib 3.9.2-1
python-mechanize 1:0.4.10-1
python-more-itertools 10.3.0-1
python-msgpack 1.0.5-2
python-multivolumefile 0.2.3-7
python-netifaces 0.11.0-5
python-numpy 2.0.1-1
python-ordered-set 4.1.0-5
python-orjson 3.10.7-1
python-packaging 24.1-1
python-pdftotext 2.2.2-6
python-pillow 10.4.0-1
python-pip 24.2-1
python-platformdirs 4.2.2-1
python-ply 3.11-13
python-protobuf 27.3-2
python-psutil 6.0.0-1
python-py7zr 0.22.0-1
python-pyamdgpuinfo 2.1.6-1
python-pybcj 1.0.2-2
python-pychm 0.8.6-8
python-pycparser 2.22-2
python-pycryptodome 3.20.0-2
python-pycryptodomex 3.20.0-1
python-pygments 2.18.0-1
python-pynvim 0.5.0-3
python-pyparsing 3.1.2-2
python-pyppmd 1.1.0-2
python-pyqt6 6.7.1-1
python-pyqt6-sip 13.8.0-1
python-pyqt6-webengine 6.7.0-2
python-pyrsistent 0.19.3-4
python-pysocks 1.7.1-9
python-pyxdg 0.28-3
python-pyzstd 0.16.1-1
python-referencing 0.35.1-1
python-regex 2024.7.24-1
python-requests 2.32.3-1
python-rpds-py 0.19.0-1
python-send2trash 1.8.2-2
python-setuptools 1:69.5.1-1
